exp_id,target_level,vectorization,model,balancing,train_time_sec,inference_time_ms,f1_macro,f1_minority_class,hyperparameters
ES_L1_TFIDF_MNB_NONE,queue,tfidf,mnb,none,0.0425,2.42,0.3088,0.087,baseline default
ES_L1_TFIDF_LOGREG_NONE,queue,tfidf,logreg,none,2.6192,1.92,0.4522,0.5066,max_iter=1000
ES_L1_TFIDF_LOGREG_SMOTE,queue,tfidf,logreg,smote,5.7504,2.17,0.5007,0.5938,max_iter=1000
ES_L1_TFIDF_RF_NONE,queue,tfidf,random_forest,none,4.8221,62.61,0.5816,0.6121,n_estimators=100
ES_L1_TFIDF_RF_SMOTE,queue,tfidf,random_forest,smote,15.7321,65.97,0.6502,0.7,n_estimators=100
ES_L1_TFIDF_XGB_WEIGHTS,queue,tfidf,xgboost,weights,95.1703,87.8,0.503,0.5897,"n_estimators=100, class_weight=balanced"
ES_L1_TFIDF_XGB_SMOTE,queue,tfidf,xgboost,smote,234.1503,83.01,0.4941,0.594,n_estimators=100
ES_L1_TFIDF_LGBM_WEIGHTS,queue,tfidf,lightgbm,weights,36.1125,60.31,0.5248,0.5919,"n_estimators=100, class_weight=balanced"
ES_L1_TFIDF_LGBM_SMOTE,queue,tfidf,lightgbm,smote,101.6787,51.96,0.5434,0.6022,n_estimators=100
